ZCTA5,StateNb,CountyNb,Population
01606,25,027,21651.0
01607,25,027,9378.0
01608,25,027,4996.0
01609,25,027,23870.0
01610,25,027,28717.0
01611,25,027,2277.0
01612,25,027,5051.0
01701,25,017,33005.0
01702,25,017,39515.0
01718,25,017,688.0
01719,25,017,5506.0
01720,25,017,23232.0
01721,25,017,18832.0
01730,25,017,14566.0
01731,25,017,1555.0
01740,25,027,5665.0
01741,25,017,5237.0
01742,25,017,18545.0
01745,25,027,433.0
01746,25,017,14996.0
01747,25,027,6017.0
01748,25,017,18758.0
01749,25,017,20092.0
01752,25,017,41793.0
01754,25,017,10730.0
01756,25,027,6228.0
01757,25,027,30479.0
01760,25,017,36659.0
01770,25,017,4401.0
01772,25,027,10017.0
01773,25,017,5651.0
01775,25,017,7190.0
01776,25,017,18934.0
01778,25,017,14132.0
01801,25,017,40891.0
01803,25,017,26074.0
01810,25,009,35621.0
01821,25,017,30909.0
01824,25,017,26881.0
01826,25,009,111.0
01826,25,017,32578.0
01827,25,017,3358.0
01830,25,009,27553.0
01832,25,009,25656.0
01833,25,009,8410.0
01834,25,009,6752.0
01835,25,009,14578.0
01840,25,009,7121.0
01841,25,009,53654.0
01843,25,009,28346.0
01844,25,009,52970.0
01845,25,009,31855.0
01850,25,017,16670.0
01851,25,017,32691.0
01852,25,017,36708.0
01854,25,017,29561.0
01860,25,009,6723.0
01862,25,017,11430.0
01863,25,017,9536.0
01864,25,017,15554.0
01867,25,017,25522.0
01876,25,009,8.0
01876,25,017,31097.0
01879,25,017,12368.0
01880,25,017,27071.0
01886,25,017,24618.0
01887,25,017,23349.0
01890,25,017,22970.0
01901,25,009,2794.0
01902,25,009,50725.0
01904,25,009,19944.0
01905,25,009,27761.0
01906,25,009,28619.0
01907,25,009,15148.0
01908,25,009,3334.0
01913,25,009,17366.0
01915,25,009,42341.0
01921,25,009,8263.0
01922,25,009,3134.0
01923,25,009,27987.0
01929,25,009,3618.0
01930,25,009,29729.0
01937,25,009,100.0
01938,25,009,13785.0
01940,25,009,13326.0
01944,25,009,5395.0
01945,25,009,20462.0
01949,25,009,9779.0
01950,25,009,18289.0
01951,25,009,3582.0
01952,25,009,9236.0
01960,25,009,54155.0
01965,25,009,329.0
01966,25,009,6992.0
01969,25,009,6161.0
01970,25,009,44451.0
01982,25,009,7618.0
01983,25,009,6569.0
01984,25,009,4979.0
01985,25,009,4500.0
02019,25,021,16945.0
02021,25,021,24370.0
02025,25,021,8381.0
02026,25,021,25364.0
02030,25,021,5923.0
02032,25,021,4853.0
02035,25,021,18618.0
02038,25,021,33261.0
02043,25,023,24272.0
02045,25,023,10072.0
02047,25,023,371.0
02048,25,005,23860.0
02050,25,023,25956.0
02052,25,021,12799.0
02053,25,021,13115.0
02054,25,021,8460.0
02056,25,021,11662.0
02061,25,023,11351.0
02062,25,021,31611.0
02066,25,023,18561.0
02067,25,021,18553.0
02071,25,021,968.0
02072,25,021,29281.0
02081,25,021,20584.0
02090,25,021,16266.0
02093,25,021,12178.0
02108,25,025,4228.0
02109,25,025,3921.0
02110,25,025,2921.0
02111,25,025,9716.0
02113,25,025,7126.0
02114,25,025,14469.0
02115,25,025,31604.0
02116,25,025,23408.0
02118,25,025,29073.0
02119,25,025,29175.0
02120,25,025,17578.0
02121,25,025,28766.0
02122,25,025,24385.0
02124,25,025,50972.0
02125,25,025,34926.0
