ZCTA5,StateNb,CountyNb,Population
00795,72,075,43745.0
00802,78,030,0.0
00820,78,010,0.0
00830,78,020,0.0
00840,78,010,0.0
00850,78,010,0.0
00851,78,010,0.0
00901,72,127,6218.0
00906,72,127,165.0
00907,72,127,16864.0
00909,72,127,6987.0
00911,72,127,7496.0
00912,72,127,5786.0
00913,72,127,7261.0
00915,72,127,25075.0
00917,72,127,17319.0
00918,72,127,17439.0
00920,72,127,14798.0
00921,72,127,32062.0
00923,72,127,23607.0
00924,72,031,3057.0
00924,72,127,46597.0
00925,72,127,5501.0
00926,72,061,477.0
00926,72,127,85655.0
00926,72,139,10600.0
00927,72,127,14297.0
00934,72,021,39.0
00934,72,061,179.0
00949,72,033,3080.0
00949,72,135,232.0
00949,72,137,64141.0
00950,72,051,6.0
00951,72,137,430.0
00952,72,137,8671.0
00953,72,047,153.0
00953,72,135,64400.0
00953,72,137,1816.0
00956,72,007,304.0
00956,72,021,71920.0
00956,72,135,129.0
00957,72,021,38865.0
00957,72,135,1675.0
00959,72,021,42585.0
00959,72,061,624.0
00959,72,135,181.0
00959,72,137,235.0
00960,72,021,2891.0
00961,72,021,27713.0
00961,72,033,349.0
00962,72,033,19726.0
00962,72,061,15.0
00965,72,061,6168.0
00966,72,021,171.0
00966,72,061,15083.0
00966,72,127,1723.0
00968,72,061,3722.0
00969,72,021,1003.0
00969,72,061,33014.0
00969,72,127,4821.0
00971,72,061,28517.0
00976,72,031,1425.0
00976,72,063,144.0
00976,72,127,1968.0
00976,72,139,56342.0
00979,72,031,14929.0
00982,72,031,14182.0
00983,72,031,31889.0
00985,72,031,31250.0
00987,72,031,58083.0
00987,72,139,344.0
01001,25,013,16984.0
01002,25,011,341.0
01002,25,015,27217.0
01003,25,015,13253.0
01005,25,027,4900.0
01007,25,015,15423.0
01008,25,003,70.0
01008,25,013,1247.0
01009,25,013,980.0
01010,25,013,3694.0
01010,25,027,17.0
01011,25,013,1042.0
01011,25,015,159.0
01012,25,015,519.0
01013,25,013,23656.0
01020,25,013,29781.0
01022,25,013,2158.0
01026,25,003,48.0
01026,25,015,963.0
01027,25,015,17896.0
01028,25,013,16417.0
01029,25,003,714.0
01030,25,013,11708.0
01031,25,027,1406.0
01032,25,015,483.0
01033,25,015,6092.0
01034,25,013,1977.0
01035,25,015,5325.0
01036,25,013,4966.0
01037,25,027,706.0
01038,25,015,2522.0
01039,25,011,343.0
01039,25,015,1168.0
01040,25,013,38238.0
01050,25,013,322.0
01050,25,015,2145.0
01053,25,015,2031.0
01054,25,011,1889.0
01056,25,013,21002.0
01057,25,013,8152.0
01060,25,015,14461.0
01062,25,015,10910.0
01063,25,015,2106.0
01066,25,015,215.0
01068,25,027,1904.0
01069,25,013,8412.0
01069,25,015,16.0
01070,25,003,28.0
01070,25,015,549.0
01071,25,013,1486.0
01072,25,011,1366.0
01073,25,015,6224.0
01074,25,027,584.0
01075,25,015,18168.0
01077,25,013,9237.0
01079,25,013,701.0
01080,25,013,2400.0
01081,25,013,1684.0
01082,25,013,20.0
01082,25,015,10050.0
01082,25,027,495.0
01083,25,027,2549.0
01084,25,015,185.0
01085,25,013,41529.0
01088,25,015,598.0
01089,25,013,28835.0
01092,25,027,1343.0
01093,25,011,290.0
01094,25,027,60.0
01095,25,013,14694.0
01096,25,011,201.0
01096,25,015,2308.0
01097,25,013,130.0
01098,25,015,1147.0
01103,25,013,2545.0
01104,25,013,23598.0
01105,25,013,12051.0
01106,25,013,16165.0
01107,25,013,11252.0
01108,25,013,27671.0
01109,25,013,30968.0
01118,25,013,14296.0
01119,25,013,14393.0
01128,25,013,2647.0
01129,25,013,7024.0
01144,25,013,0.0
01151,25,013,9150.0
01201,25,003,45494.0
01220,25,003,8166.0
01222,25,003,835.0
01223,25,003,2420.0
01223,25,013,10.0
01224,25,003,217.0
01225,25,003,3258.0
01226,25,003,6324.0
01229,25,003,189.0
01230,25,003,8907.0
01235,25,003,2733.0
01236,25,003,1513.0
01237,25,003,2365.0
01238,25,003,5722.0
01240,25,003,4692.0
01242,25,003,449.0
01243,25,015,175.0
01244,25,003,287.0
01245,25,003,933.0
01247,25,003,15147.0
01253,25,003,808.0
01254,25,003,946.0
01255,25,003,959.0
01256,25,003,645.0
01257,25,003,2140.0
01258,25,003,160.0
01259,25,003,643.0
01260,25,003,233.0
01262,25,003,1758.0
01264,25,003,219.0
01266,25,003,1208.0
01267,25,003,7876.0
01270,25,003,755.0
01301,25,011,18042.0
01330,25,011,1500.0
01331,25,011,18.0
01331,25,027,13638.0
01337,25,011,2562.0
01338,25,011,127.0
01339,25,011,1487.0
01340,25,011,1803.0
01341,25,011,1539.0
01342,25,011,1538.0
01343,25,003,165.0
01344,25,011,1665.0
01346,25,011,352.0
01347,25,011,204.0
01349,25,011,827.0
01350,25,011,118.0
01351,25,011,2293.0
01354,25,011,1546.0
01355,25,011,879.0
01360,25,011,2871.0
01364,25,011,7665.0
01366,25,027,1187.0
01367,25,011,506.0
01368,25,027,1283.0
01370,25,011,3932.0
01373,25,011,4526.0
01375,25,011,3639.0
01376,25,011,5324.0
01378,25,011,780.0
01379,25,011,774.0
01380,25,011,82.0
01420,25,027,41940.0
01430,25,027,6303.0
01431,25,017,3193.0
01432,25,017,8221.0
01434,25,017,262.0
01434,25,027,1390.0
01436,25,027,3208.0
01438,25,027,414.0
01440,25,027,21577.0
01450,25,017,11298.0
01451,25,027,5461.0
01452,25,027,4328.0
01453,25,027,43752.0
01460,25,017,10141.0
01462,25,027,11818.0
01463,25,017,11621.0
01464,25,017,7427.0
01468,25,027,4309.0
01469,25,017,7055.0
01473,25,027,8213.0
01474,25,017,2072.0
01475,25,027,10304.0
01501,25,027,16731.0
01503,25,027,3158.0
01504,25,027,9208.0
01505,25,027,4849.0
01506,25,027,3439.0
01507,25,027,13315.0
01510,25,027,15428.0
01515,25,027,2224.0
01516,25,027,8962.0
01518,25,027,3176.0
01519,25,027,7254.0
01520,25,027,16394.0
01521,25,013,2603.0
01522,25,027,3464.0
01523,25,027,8377.0
01524,25,027,6621.0
01525,25,027,73.0
01527,25,027,13799.0
01529,25,027,3174.0
01531,25,027,996.0
01532,25,027,15741.0
01534,25,027,6233.0
01535,25,027,4735.0
01536,25,027,7514.0
01537,25,027,2141.0
01540,25,027,11032.0
01541,25,027,3495.0
01542,25,027,2366.0
01543,25,027,9049.0
01545,25,027,38316.0
01550,25,027,17740.0
01560,25,027,4896.0
01561,25,027,64.0
01562,25,027,11992.0
01564,25,027,7985.0
01566,25,027,6691.0
01568,25,027,7900.0
01569,25,027,14193.0
01570,25,027,17776.0
01571,25,027,11921.0
01581,25,027,21567.0
01583,25,027,7652.0
01585,25,027,4899.0
01588,25,027,10106.0
01590,25,027,9279.0
01602,25,027,25382.0
01603,25,027,22417.0
01604,25,027,41301.0
01605,25,027,29218.0
