"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Guilford County, NC"	"37081"	6259	521330	12.01
	"Harnett County, NC"	"37085"	1861	130881	14.22
	"Henderson County, NC"	"37089"	1089	114209	9.54
	"Iredell County, NC"	"37097"	1923	172916	11.12
	"Johnston County, NC"	"37101"	2336	191450	12.20
	"Mecklenburg County, NC"	"37119"	14881	1054835	14.11
	"New Hanover County, NC"	"37129"	2241	223483	10.03
	"Onslow County, NC"	"37133"	3960	187136	21.16
	"Orange County, NC"	"37135"	1166	141796	8.22
	"Pitt County, NC"	"37147"	2023	177220	11.42
	"Randolph County, NC"	"37151"	1600	143416	11.16
	"Robeson County, NC"	"37155"	1775	133235	13.32
	"Rowan County, NC"	"37159"	1651	139933	11.80
	"Union County, NC"	"37179"	2415	226606	10.66
	"Wake County, NC"	"37183"	13018	1046791	12.44
	"Wayne County, NC"	"37191"	1636	124150	13.18
	"Unidentified Counties, NC"	"37999"	31354	3026437	10.36
	"Cass County, ND"	"38017"	2639	175249	15.06
	"Unidentified Counties, ND"	"38999"	8744	582703	15.01
	"Allen County, OH"	"39003"	1257	103742	12.12
	"Ashtabula County, OH"	"39007"	1075	98231	10.94
	"Butler County, OH"	"39017"	4452	377537	11.79
	"Clark County, OH"	"39023"	1532	134786	11.37
	"Clermont County, OH"	"39025"	2293	203022	11.29
	"Columbiana County, OH"	"39029"	1070	103685	10.32
	"Cuyahoga County, OH"	"39035"	14758	1249352	11.81
	"Delaware County, OH"	"39041"	2079	196463	10.58
	"Fairfield County, OH"	"39045"	1629	152597	10.68
	"Franklin County, OH"	"39049"	19045	1264518	15.06
	"Greene County, OH"	"39057"	1808	164765	10.97
	"Hamilton County, OH"	"39061"	10820	809099	13.37
	"Lake County, OH"	"39085"	2163	228614	9.46
	"Licking County, OH"	"39089"	2075	172198	12.05
	"Lorain County, OH"	"39093"	3295	306365	10.76
	"Lucas County, OH"	"39095"	5627	432488	13.01
	"Mahoning County, OH"	"39099"	2506	230008	10.90
	"Medina County, OH"	"39103"	1816	177221	10.25
	"Miami County, OH"	"39109"	1227	104679	11.72
	"Montgomery County, OH"	"39113"	6631	531239	12.48
	"Portage County, OH"	"39133"	1441	161921	8.90
	"Richland County, OH"	"39139"	1328	121107	10.97
	"Stark County, OH"	"39151"	4236	373612	11.34
	"Summit County, OH"	"39153"	5996	540300	11.10
	"Trumbull County, OH"	"39155"	2101	201825	10.41
	"Warren County, OH"	"39165"	2400	227063	10.57
	"Wayne County, OH"	"39169"	1487	116470	12.77
